
ix=-2, iy=-2, spr=0
ix=-1, iy=-2, spr=0
ix=0, iy=-2, spr=0
ix=1, iy=-2, spr=0
ix=2, iy=-2, spr=0
ix=3, iy=-2, spr=0
ix=4, iy=-2, spr=0
ix=5, iy=-2, spr=0
ix=6, iy=-2, spr=0
ix=7, iy=-2, spr=0
ix=8, iy=-2, spr=0
ix=-2, iy=-1, spr=0
ix=-1, iy=-1, spr=0
ix=0, iy=-1, spr=0
ix=1, iy=-1, spr=0
ix=2, iy=-1, spr=0
ix=3, iy=-1, spr=0
ix=4, iy=-1, spr=0
ix=5, iy=-1, spr=0
ix=6, iy=-1, spr=0
ix=7, iy=-1, spr=0
ix=8, iy=-1, spr=0
ix=-2, iy=0, spr=0
ix=-1, iy=0, spr=0
ix=0, iy=0, spr=32
ix=1, iy=0, spr=33
ix=2, iy=0, spr=34
ix=3, iy=0, spr=35
ix=4, iy=0, spr=36
ix=5, iy=0, spr=37
ix=6, iy=0, spr=38
ix=7, iy=0, spr=39
ix=8, iy=0, spr=40
ix=-2, iy=1, spr=0
ix=-1, iy=1, spr=0
ix=0, iy=1, spr=48
ix=1, iy=1, spr=49
ix=2, iy=1, spr=50
ix=3, iy=1, spr=51
ix=4, iy=1, spr=52
ix=5, iy=1, spr=53
ix=6, iy=1, spr=54
ix=7, iy=1, spr=55
ix=8, iy=1, spr=56
ix=-2, iy=2, spr=0
ix=-1, iy=2, spr=0
ix=0, iy=2, spr=1
ix=1, iy=2, spr=2
ix=2, iy=2, spr=6
ix=3, iy=2, spr=6
ix=4, iy=2, spr=6
ix=5, iy=2, spr=6
ix=6, iy=2, spr=4
ix=7, iy=2, spr=4
ix=8, iy=2, spr=0
ix=-2, iy=3, spr=0
ix=-1, iy=3, spr=0
ix=0, iy=3, spr=3
ix=1, iy=3, spr=131
ix=2, iy=3, spr=130
ix=3, iy=3, spr=131
ix=4, iy=3, spr=130
ix=5, iy=3, spr=131
ix=6, iy=3, spr=130
ix=7, iy=3, spr=4
ix=8, iy=3, spr=0
ix=-2, iy=4, spr=0
ix=-1, iy=4, spr=0
ix=0, iy=4, spr=4
ix=1, iy=4, spr=130
ix=2, iy=4, spr=131
ix=3, iy=4, spr=130
ix=4, iy=4, spr=131
ix=5, iy=4, spr=130
ix=6, iy=4, spr=131
ix=7, iy=4, spr=4
ix=8, iy=4, spr=0
ix=-2, iy=5, spr=0
ix=-1, iy=5, spr=0
ix=0, iy=5, spr=4
ix=1, iy=5, spr=4
ix=2, iy=5, spr=4
ix=3, iy=5, spr=4
ix=4, iy=5, spr=4
ix=5, iy=5, spr=131
ix=6, iy=5, spr=130
ix=7, iy=5, spr=4
ix=8, iy=5, spr=0
ix=-2, iy=6, spr=0
ix=-1, iy=6, spr=0
ix=0, iy=6, spr=0
ix=1, iy=6, spr=0
ix=2, iy=6, spr=0
ix=3, iy=6, spr=0
ix=4, iy=6, spr=4
ix=5, iy=6, spr=130
ix=6, iy=6, spr=131
ix=7, iy=6, spr=4
ix=8, iy=6, spr=6
ix=-2, iy=7, spr=0
ix=-1, iy=7, spr=0
ix=0, iy=7, spr=0
ix=1, iy=7, spr=0
ix=2, iy=7, spr=0
ix=3, iy=7, spr=0
ix=4, iy=7, spr=4
ix=5, iy=7, spr=131
ix=6, iy=7, spr=130
ix=7, iy=7, spr=131
ix=8, iy=7, spr=130
ix=-2, iy=8, spr=0
ix=-1, iy=8, spr=0
ix=0, iy=8, spr=0
ix=1, iy=8, spr=0
ix=2, iy=8, spr=0
ix=3, iy=8, spr=0
ix=4, iy=8, spr=4
ix=5, iy=8, spr=130
ix=6, iy=8, spr=131
ix=7, iy=8, spr=130
ix=8, iy=8, spr=131
